,IIN,NAME,SURNAME,FATHER_NAME,BIRTHDATE,GENDER,FAMILY,ADDRESS,RANK,STATUS,COMMANDER_IIN,HIRE_DATE,CONTRACT_TYPE,REBUKES,SALARY
0,850702372343,Lawrence,Howard,Harold,02/07/85,MALE,NOT MARRIED,"Oak St, Portland, OR 96801",PRIVATE,OPERATION,920221162949,02/07/03,PRACTICANT,0,34934
1,880730942030,John,Walker,Peter,30/07/88,MALE,NOT MARRIED,"Oak St, Columbia, AR 78701",PRIVATE,OPERATION,000212072547,30/07/06,PRACTICANT,1,10773
2,940712345527,Walter,King,Billy,12/07/94,MALE,NOT MARRIED,"Main St, Boise, OR 04330",PRIVATE,OPERATION,770618540041,12/07/12,PRACTICANT,0,14081
3,750410155219,Kenneth,Davis,Alexander,10/04/75,MALE,NOT MARRIED,"Oak St, Lexington, IL 53703",PRIVATE,OPERATION,770618540041,10/04/93,PRACTICANT,0,39412
4,860810049446,Bruce,Cook,Steven,10/08/86,MALE,MARRIED,"Cedar Ln, Salt Lake City, OR 97201",PRIVATE,FREE,920221162949,10/08/04,PRACTICANT,1,29994
5,000124527800,Robert,Butler,Edward,24/01/00,MALE,NOT MARRIED,"Oak St, Madison, CO 58102",PRIVATE,OPERATION,770618540041,24/01/18,PRACTICANT,1,7908
6,980403399312,Steven,Hughes,Dennis,03/04/98,MALE,MARRIED,"Main St, Providence, OR 72201",PRIVATE,ON MISSION,770630478775,03/04/16,PRACTICANT,0,12510
7,830703957228,Harold,Coleman,Christopher,03/07/83,MALE,MARRIED,"Oak St, Orlando, NH 97301",PRIVATE,OPERATION,770618540041,03/07/01,PRACTICANT,0,21673
8,000212072547,Jason,Richardson,Robert,12/02/00,MALE,NOT MARRIED,"Pine St, Manchester, NC 92501",STAFF SERGEANT,OPERATION,751014370892,12/02/18,STAFF,2,35289
9,990130284956,Kenneth,Martinez,Roger,30/01/99,MALE,NOT MARRIED,"Pine St, Lincoln, WI 70801",PRIVATE,ON MISSION,920221162949,30/01/17,PRACTICANT,2,3643
10,751130622230,John,Murphy,Harry,30/11/75,MALE,MARRIED,"Maple Ave, Lincoln, OR 04330",PRIVATE,ON MISSION,000212072547,30/11/93,PRACTICANT,1,3761
11,860218519141,Mark,Hernandez,Aaron,18/02/86,MALE,NOT MARRIED,"Oak St, Baton Rouge, AR 68102",PRIVATE,ON MISSION,770630478775,18/02/04,PRACTICANT,0,2404
12,911027568196,Steven,Davis,Justin,27/10/91,MALE,NOT MARRIED,"Main St, Orlando, RI 58102",PRIVATE,ON MISSION,000212072547,27/10/09,PRACTICANT,0,26754
13,881228564580,Tyler,Wilson,Billy,28/12/88,MALE,NOT MARRIED,"Main St, Riverside, NC 53703",PRIVATE,ON MISSION,770630478775,28/12/06,PRACTICANT,2,22618
14,010502097858,Joshua,Brown,Edward,02/05/01,MALE,MARRIED,"Maple Ave, Fargo, LA 32801",PRIVATE,ON MISSION,770618540041,02/05/19,PRACTICANT,0,6813
15,751203009535,Charles,Baker,Harry,03/12/75,MALE,NOT MARRIED,"Pine St, Salt Lake City, PA 80202",PRIVATE,FREE,920221162949,03/12/93,PRACTICANT,2,36133
16,940921551543,Russell,Howard,Douglas,21/09/94,MALE,NOT MARRIED,"Pine St, Augusta, FL 03101",PRIVATE,OPERATION,770618540041,21/09/12,PRACTICANT,2,23518
17,031226820138,Larry,Kelly,Kenneth,26/12/03,MALE,NOT MARRIED,"Main St, Des Moines, OR 58102",PRIVATE,FREE,770630478775,26/12/21,PRACTICANT,0,26602
18,880620123715,Noah,Ramirez,Zachary,20/06/88,MALE,NOT MARRIED,"Oak St, Fargo, FL 83702",PRIVATE,FREE,770630478775,20/06/06,PRACTICANT,0,6518
19,770510002300,Thomas,Sanchez,Samuel,10/05/77,MALE,NOT MARRIED,"Cedar Ln, Providence, FL 53703",PRIVATE,FREE,771124207456,10/05/95,PRACTICANT,0,27603
20,830724771749,David,Jackson,Jonathan,24/07/83,MALE,NOT MARRIED,"Main St, Baton Rouge, ME 58102",PRIVATE,FREE,771124207456,24/07/01,PRACTICANT,2,27754
21,890729371331,Louis,Miller,Bruce,29/07/89,MALE,NOT MARRIED,"Maple Ave, Springfield, HI 97301",PRIVATE,FREE,920221162949,29/07/07,PRACTICANT,0,27156
22,920221162949,Raymond,Anderson,Peter,21/02/92,MALE,NOT MARRIED,"Oak St, Lincoln, WI 02901",STAFF SERGEANT,OPERATION,751014370892,21/02/10,STAFF,2,36955
23,790201818498,Wayne,Mitchell,Edward,01/02/79,MALE,NOT MARRIED,"Cedar Ln, Springfield, IL 84101",PRIVATE,FREE,770618540041,01/02/97,PRACTICANT,2,19918
24,780121774673,Justin,Martinez,Mark,21/01/78,MALE,MARRIED,"Main St, Lincoln, OR 78701",PRIVATE,FREE,771124207456,21/01/96,PRACTICANT,2,31485
