,IIN,NAME,SURNAME,FATHER_NAME,BIRTHDATE,GENDER,FAMILY,ADDRESS,RANK,STATUS,COMMANDER_IIN,HIRE_DATE,CONTRACT_TYPE,REBUKES,SALARY
0,901203848048,Sean,Carter,Billy,03/12/90,MALE,NOT MARRIED,"Maple Ave, Springfield, IA 80202",PRIVATE,SECURITY,980812484094,03/12/08,CONSCRIPT,2,38792
1,020423080087,Benjamin,Flores,George,23/04/02,MALE,NOT MARRIED,"Main St, Portland, SC 27601",PRIVATE,SECURITY,751109098652,23/04/20,CONSCRIPT,2,16370
2,780506391022,Edward,Lee,Matthew,06/05/78,MALE,MARRIED,"Cedar Ln, Providence, NE 21201",LIEUTENANT,ON MISSION,901022902797,06/05/96,STAFF,0,35820
3,961205893894,Ronald,Johnson,Roy,05/12/96,MALE,NOT MARRIED,"Oak St, Des Moines, ND 29201",PRIVATE,SECURITY,900917565424,05/12/14,CONSCRIPT,0,23486
4,020606498973,Larry,Hall,Michael,06/06/02,MALE,NOT MARRIED,"Main St, Honolulu, NH 25301",PRIVATE,SECURITY,861230558075,06/06/20,CONSCRIPT,1,14143
5,030830048512,Daniel,Jones,Adam,30/08/03,MALE,NOT MARRIED,"Maple Ave, Baltimore, OR 92501",PRIVATE,SECURITY,900917565424,30/08/21,CONSCRIPT,0,15395
6,830509021767,Russell,Washington,Alan,09/05/83,MALE,NOT MARRIED,"Maple Ave, Austin, OR 53703",PRIVATE,SECURITY,920325505979,09/05/01,CONSCRIPT,2,2219
7,760228417206,Steven,Jones,Edward,28/02/76,MALE,NOT MARRIED,"Cedar Ln, Lexington, CO 27601",PRIVATE,SECURITY,790110399121,28/02/94,CONSCRIPT,2,33585
8,900815590664,Jacob,Harris,Russell,15/08/90,MALE,NOT MARRIED,"Oak St, Augusta, MD 21201",PRIVATE,SECURITY,771215431415,15/08/08,CONSCRIPT,0,4410
9,760706718364,Jack,Young,Walter,06/07/76,MALE,NOT MARRIED,"Main St, Denver, PA 40502",PRIVATE,SECURITY,760706718364,06/07/94,CONSCRIPT,1,4801
10,870826873855,Jeffrey,Jenkins,Carl,26/08/87,MALE,NOT MARRIED,"Cedar Ln, Raleigh, AZ 21201",PRIVATE,SECURITY,930515407672,26/08/05,CONSCRIPT,0,12897
11,831123591830,Nicholas,Jenkins,Daniel,23/11/83,MALE,NOT MARRIED,"Pine St, Raleigh, ID 40502",PRIVATE,ON MISSION,831123591830,23/11/01,CONSCRIPT,2,34544
12,041021959353,Adam,Barnes,Anthony,21/10/04,MALE,NOT MARRIED,"Pine St, Raleigh, PA 78701",PRIVATE,ON MISSION,970428698534,21/10/22,CONSCRIPT,2,15160
13,960322727630,William,Taylor,Joshua,22/03/96,MALE,NOT MARRIED,"Maple Ave, Madison, MD 03101",PRIVATE,ON MISSION,920827359771,22/03/14,CONSCRIPT,2,12418
14,750830841679,Harold,Peterson,Philip,30/08/75,MALE,MARRIED,"Main St, Baton Rouge, IA 80202",SERGEANT,FREE,830226159286,30/08/93,STAFF,0,7977
15,880221794553,Jeremy,Martinez,James,21/02/88,MALE,NOT MARRIED,"Main St, Little Rock, AR 04330",PRIVATE,ON MISSION,880221794553,21/02/06,CONSCRIPT,1,25297
16,950224839426,Kyle,Ramirez,Roger,24/02/95,MALE,NOT MARRIED,"Main St, Honolulu, NE 70801",PRIVATE,ON MISSION,821003508215,24/02/13,CONSCRIPT,2,3527
